Date,btc_price,btc_volume,eth_price,eth_volume,bnb_price,bnb_volume,sol_price,sol_volume,xrp_price,xrp_volume,ada_price,ada_volume,avax_price,avax_volume,doge_price,doge_volume,dot_price,dot_volume,trx_price,trx_volume
,BTC-USD,BTC-USD,ETH-USD,ETH-USD,BNB-USD,BNB-USD,SOL-USD,SOL-USD,XRP-USD,XRP-USD,ADA-USD,ADA-USD,AVAX-USD,AVAX-USD,DOGE-USD,DOGE-USD,DOT-USD,DOT-USD,TRX-USD,TRX-USD
2022-08-06,22961.279296875,15978259885,1691.6580810546875,11757911705,315.06890869140625,1151509385,40.0570068359375,650997770,0.37157100439071655,498759511,0.5112559795379639,370884770,26.659427642822266,725161177,0.0686739981174469,277979112,8.516014099121094,388196556,0.06947200000286102,292783849
2022-08-07,23175.890625,15886817043,1699.350830078125,10252090340,322.921142578125,1012978419,40.6055908203125,614104051,0.3725059926509857,509151829,0.5274699926376343,495713645,27.889965057373047,789046881,0.06893999874591827,204862521,8.646408081054688,343345306,0.06963299959897995,280333476
2022-08-08,23809.486328125,28575544847,1775.51611328125,16841424404,324.8004150390625,1318773332,42.17055130004883,1117550363,0.37875398993492126,1030742941,0.5365960001945496,782794306,27.94895362854004,983856352,0.07005500048398972,399183407,9.268288612365723,716347082,0.07011000066995621,330352594
2022-08-09,23164.318359375,23555719219,1703.0250244140625,16368619692,324.9123229980469,1139003043,40.372623443603516,895263875,0.36810100078582764,4098651206,0.5140519738197327,636681258,27.420223236083984,758807732,0.06912499666213989,611327142,8.906953811645508,672012621,0.06847400218248367,381450851
2022-08-10,23947.642578125,32837431722,1851.74267578125,23512477984,328.4711608886719,1738218767,42.365867614746094,1389333742,0.3810650110244751,1732723595,0.5370929837226868,816259967,29.1173095703125,942970922,0.07119499891996384,431172729,9.502070426940918,826401352,0.07032199949026108,374260298
2022-08-11,23957.529296875,37127036580,1881.22412109375,23826986482,323.80023193359375,1511577808,42.8217887878418,1735349568,0.38056299090385437,1088394568,0.5312579870223999,819277170,28.555143356323242,759953820,0.07092999666929245,563908591,9.208972930908203,679395824,0.07033099979162216,375233195
2022-08-12,24402.818359375,27265804688,1957.2464599609375,17168141904,327.5146789550781,980643843,45.33475875854492,1128246063,0.3799949884414673,923071430,0.5407530069351196,538287825,29.343828201293945,488313177,0.07234500348567963,320410367,9.479537010192871,544819917,0.07045099884271622,348132540
2022-08-13,24424.068359375,22987346289,1981.3365478515625,16038975216,323.8701477050781,991712327,46.485347747802734,1416039040,0.37796398997306824,590320028,0.5598130226135254,930190208,29.108469009399414,469245521,0.07283999770879745,446287445,9.290427207946777,359798888,0.06990399956703186,341923295
2022-08-14,24319.333984375,22994133555,1936.802001953125,14062754456,317.98663330078125,936178150,44.916568756103516,1061034922,0.3764509856700897,754512693,0.570343017578125,1180283864,28.215635299682617,427880595,0.08168700337409973,1530403447,8.958501815795898,553281526,0.07039999961853027,449741205
2022-08-15,24136.97265625,35123501685,1904.2281494140625,20349931313,319.8872985839844,1141553086,43.82322311401367,1364253429,0.37577399611473083,1046905199,0.5511710047721863,876107175,27.92951011657715,494986915,0.07671999931335449,855017472,8.80242919921875,515446124,0.06893599778413773,427093950
2022-08-16,23883.291015625,27753685646,1878.139404296875,15637578930,316.4236755371094,963072351,43.15880584716797,1131452045,0.3772369921207428,930440616,0.5579149723052979,734187541,27.162704467773438,415203519,0.08696399629116058,1947377918,8.842569351196289,386335442,0.06971599906682968,395283023
2022-08-17,23335.998046875,30931623076,1832.9996337890625,20308508124,306.63641357421875,1111784114,40.403053283691406,1336772691,0.379707008600235,1408497181,0.5370380282402039,1035477916,25.486738204956055,503874972,0.08015400171279907,996272861,8.359841346740723,466651848,0.06821899861097336,420544638
2022-08-18,23212.73828125,23747613147,1847.0078125,14999352229,298.1412353515625,1041814513,39.545230865478516,885648540,0.37096500396728516,927786270,0.5126330256462097,642877241,24.25769805908203,390507879,0.07507900148630142,621394159,8.09457015991211,348830388,0.06744299829006195,380890835
2022-08-19,20877.552734375,40509610260,1612.9873046875,25906358731,279.7187194824219,1598319492,35.8902587890625,1821467945,0.33504900336265564,1645536381,0.450980007648468,1294433367,22.487878799438477,764994457,0.06793899834156036,965543533,7.325466156005859,529309050,0.06408199667930603,511432500
2022-08-20,21166.060546875,27595671000,1577.0037841796875,18334580263,283.6931457519531,1315367730,35.26973342895508,1203622743,0.33754101395606995,848212364,0.45138800144195557,792647751,22.302879333496094,507113879,0.06954000145196915,537299425,7.233099937438965,363061870,0.06578899919986725,366457637
2022-08-21,21534.12109375,23102307723,1619.3189697265625,15849221752,302.0562744140625,1249205607,36.533199310302734,982071275,0.3453019857406616,835616993,0.4635460078716278,616272980,22.977310180664062,480536069,0.06944800168275833,421455865,7.438866138458252,259531293,0.06598299741744995,338437993
2022-08-22,21398.908203125,31666498758,1622.505859375,18557078599,300.5591125488281,1463703478,35.47438049316406,1139846770,0.3447209894657135,1001511240,0.46144598722457886,722091304,22.581424713134766,512194711,0.06839100271463394,453413439,7.401978969573975,321523178,0.0655599981546402,372955310
2022-08-23,21528.087890625,31878280659,1662.7698974609375,18322041914,299.0299377441406,1034959891,35.6462516784668,854779221,0.34709200263023376,930696331,0.4652070105075836,562953519,23.52440071105957,438836084,0.06876999884843826,335476543,7.638373851776123,357178869,0.06625799834728241,478282039
