Date,btc_price,btc_vol_M,eth_price,eth_vol_M,bnb_price,bnb_vol_M,sol_price,sol_vol_M,xrp_price,xrp_vol_M,ada_price,ada_vol_M,avax_price,avax_vol_M,doge_price,doge_vol_M,dot_price,dot_vol_M,trx_price,trx_vol_M
2025-07-28,117924.4765625,64822.94,3787.42578125,35831.34,822.0185546875,3448.41,182.54156494140625,7456.22,3.11584210395813,8060.55,0.7908909916877747,1298.72,25.0874137878418,1099.62,0.2252259999513626,2900.65,3.948425054550171,335.01,0.3217769861221313,1205.6
2025-07-29,117922.1484375,68463.11,3793.454833984375,35540.44,804.89892578125,3097.31,181.33531188964844,5430.3,3.1284310817718506,6224.57,0.7824680209159851,986.79,24.35527610778809,780.52,0.2237929999828338,2219.78,3.9029300212860103,328.65,0.338236004114151,3051.61
2025-07-30,117831.1875,68896.15,3808.20166015625,34392.49,793.1448364257812,2836.54,177.6940155029297,6074.76,3.098376035690308,6525.49,0.7634389996528625,1181.05,23.30423355102539,661.31,0.2198999971151352,2295.85,3.80671501159668,354.61,0.3275740146636963,1710.7
2025-07-31,115758.203125,69370.35,3696.707763671875,32839.84,783.6668090820312,2581.14,172.42434692382812,5443.53,3.025170087814331,5429.99,0.7400599718093872,977.04,22.499839782714844,585.94,0.2098730057477951,1775.12,3.688585996627808,282.31,0.3248730003833771,1010.03
2025-08-01,113320.0859375,91294.53,3488.365966796875,46261.56,757.1865844726562,3061.37,162.87709045410156,8200.36,2.96459698677063,9496.83,0.7156670093536377,1471.51,21.558088302612305,765.14,0.2012159973382949,3400.02,3.5524909496307373,429.04,0.3234710097312927,1737.4
2025-08-02,112526.9140625,56870.87,3392.7412109375,30165.07,736.6464233398438,2181.37,158.48301696777344,4455.06,2.766371965408325,6806.95,0.6976699829101562,921.58,20.869081497192383,350.48,0.1912139952182769,2202.58,3.506546974182129,270.87,0.321943998336792,1352.0
2025-08-03,114217.671875,48099.62,3497.379150390625,19363.59,751.5609741210938,1761.51,161.95497131347656,3702.56,2.9495439529418945,5493.34,0.7269759774208069,757.51,21.37859535217285,268.32,0.198863998055458,1383.82,3.603952884674072,181.46,0.3276549875736236,787.87
2025-08-04,115071.8828125,35783.03,3718.986083984375,30905.75,769.05908203125,1940.6,169.42568969726562,4977.91,3.072809934616089,6105.47,0.7548080086708069,893.5,23.090251922607425,574.41,0.2104129940271377,1808.7,3.71992301940918,227.88,0.3329420089721679,668.38
2025-08-05,114141.4453125,61039.18,3611.8994140625,32778.74,754.8510131835938,1951.12,164.096435546875,4979.3,2.963747978210449,5761.77,0.726036012172699,945.41,21.90344619750977,441.31,0.1997389942407608,1606.06,3.618730068206787,223.1,0.3336139917373657,922.48
2025-08-06,115028.0,56379.13,3683.920654296875,26924.42,769.8478393554688,1969.11,168.1757354736328,3851.54,2.9918880462646484,4694.23,0.7417939901351929,740.55,22.230154037475582,372.18,0.2052550017833709,1273.21,3.673978090286255,188.76,0.3371739983558655,874.86
2025-08-07,117496.8984375,64051.65,3914.325927734375,38627.83,788.1963500976562,2162.19,175.4854278564453,5177.01,3.3182079792022705,8073.58,0.7863950133323669,1066.14,23.34622383117676,549.79,0.2223899960517883,2060.91,3.863389015197754,281.69,0.3385120034217834,970.89
2025-08-08,116688.7265625,59713.01,4009.848876953125,45460.29,793.4395751953125,2429.52,176.76329040527344,6565.01,3.28712010383606,10725.93,0.7911810278892517,1342.18,23.79742813110352,729.62,0.2302139997482299,2813.21,3.978262901306152,417.2,0.3380059897899627,1111.26
2025-08-09,116500.359375,54004.31,4263.59912109375,45279.72,799.0867309570312,2215.14,180.18234252929688,5297.62,3.227883100509644,5751.25,0.804036021232605,1023.98,24.247360229492188,727.75,0.2403250038623809,3167.91,4.139029026031494,293.77,0.3352850079536438,602.36
2025-08-10,119306.7578125,64755.46,4254.2177734375,36173.93,805.8734741210938,2090.9,182.90301513671875,6719.48,3.187855958938598,5480.66,0.8022879958152771,1080.5,23.863525390625,504.05,0.2340990006923675,2275.13,4.063408851623535,293.15,0.3383260071277618,842.97
2025-08-11,118731.4453125,90528.78,4226.966796875,49989.85,806.730224609375,2805.69,174.97781372070312,7353.96,3.134514093399048,8655.88,0.7739769816398621,1413.95,22.852481842041016,672.27,0.2225500047206878,2818.66,3.863739967346192,359.89,0.3449859917163849,1003.07
2025-08-12,120172.90625,72803.66,4590.9248046875,57237.19,832.9265747070312,2889.22,191.85682678222656,8611.51,3.2665059566497803,8909.12,0.8412039875984192,1984.79,24.666894912719727,723.96,0.2356660068035125,2721.9,4.148653984069824,521.56,0.3523589968681335,1270.42
2025-08-13,123344.0625,90904.81,4756.27587890625,62550.01,849.0054931640625,3364.65,201.5904235839844,11831.41,3.2805910110473637,8866.52,0.9059240221977234,2355.9,25.53123664855957,830.74,0.2452020049095153,4066.94,4.281787872314453,542.64,0.3623389899730682,1441.49
2025-08-14,118359.578125,104055.63,4548.16650390625,75681.63,840.9309692382812,4687.49,192.58595275878903,14664.46,3.083522081375122,12234.77,0.9253829717636108,6566.98,23.670026779174805,1194.35,0.2238930016756057,5430.97,3.988956928253174,592.82,0.3581410050392151,2568.78
2025-08-15,117398.3515625,68665.35,4439.98876953125,55445.72,827.2891845703125,3843.11,185.7412567138672,7685.76,3.078666925430298,7119.2,0.943835973739624,3727.22,23.75663375854492,1228.38,0.2286130040884018,3284.44,3.891083002090454,414.25,0.3524639904499054,1608.48
2025-08-16,117491.3515625,48036.92,4426.18017578125,26816.93,839.3980712890625,1960.22,189.7669982910156,3716.01,3.108139991760254,4171.85,0.9212819933891296,2342.33,24.31324958801269,447.54,0.2312459945678711,2012.79,3.967053890228272,175.38,0.3480719923973083,931.61
2025-08-17,117453.0625,45852.17,4473.271484375,31348.1,856.4029541015625,2286.89,191.16482543945312,4221.79,3.089040994644165,3705.55,0.9618890285491944,2190.57,25.075254440307617,677.98,0.2345650047063827,2308.82,4.056697845458984,279.32,0.353516012430191,915.71
2025-08-18,116252.3125,72787.81,4312.5048828125,53518.42,847.4179077148438,2765.08,183.0698699951172,6328.03,3.0614829063415527,8082.54,0.9232550263404846,2301.66,23.70053100585937,845.92,0.2224249988794326,3221.26,3.914813041687012,377.17,0.3503580093383789,1152.01
2025-08-19,112831.1796875,71657.6,4073.464111328125,50440.37,823.56591796875,2718.8,176.11227416992188,5990.64,2.852924108505249,7026.86,0.8450390100479126,2803.35,22.331470489501957,629.99,0.2090480029582977,2965.24,3.715419054031372,324.23,0.34756800532341,1287.05
2025-08-20,114274.7421875,67993.81,4334.50048828125,49577.86,869.1038818359375,3612.56,187.5863037109375,6283.11,2.950748920440674,7007.19,0.8808220028877258,2190.77,23.42913055419922,533.02,0.221450001001358,3332.09,3.880340099334717,295.6,0.3543489873409271,1229.41
